ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
30073,,Thirty Bench Winemaker's Blend Cabernet Franc 2021,26.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/0/030073.jpg.thumb.319.319.png
30180,,Odem Mountain Winery Dry Red KP 2021,52.35,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/1/030180.jpg.thumb.319.319.png
30344,,Lanzado Organic Orange Wine 2022,20.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/3/030344.jpg.thumb.319.319.png
30616,,Samos Ecclesiastical Wine,17.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/6/030616.jpg.thumb.319.319.png
30738,,The Prisoner + FREE black wine glasses,129.90,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/7/030738.jpg.thumb.319.319.png
30878,,Poderi dal Nespoli Orange Wine 2021,22.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/8/030878.jpg.thumb.319.319.png
30889,,Barossa Valley Wine Company Gravel Track Shiraz 2019,22.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/8/030889.jpg.thumb.319.319.png
30957,Concha y Toro,Winemaker's Lot 148 Las Pataguas Vineyard Carmenère,17.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/9/030957.jpg.thumb.319.319.png
31042,,Wines from Tuscany Chianti Gift Set in Vintages Wooden Box,94.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/1/0/031042.jpg.thumb.319.319.png
31045,,Red Wine Tasting Gift Set in Vintages Wooden Box ,269.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/1/0/031045.jpg.thumb.319.319.png
31190,,Vale de Touros Vinhas Velhas Reserva Red Wine 2019,24.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/1/1/031190.jpg.thumb.319.319.png
32175,,Lively Peach Cherry Flavoured Wine Beverage,3.95,Wine,Specialty Wines,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/2/1/032175.jpg.thumb.319.319.png
